Головной арт;Код;Наименование;фасовка;Единица измерения;Цена в валюте прайса;Бренд;картинка;Цвет
;20880;QUELYD Грунт универсальный;180;г;118,63917;QUELYD;http://budnezhyn.com.ua/3740-thickbox_default/quelyd-grunt-universalnyy-dlya-schpaler-180-g.jpg;
;6297;"QUELYD Клей д/декор.бордюров ""Bordure""";250;г;302,86659;QUELYD;;
;6298;"QUELYD Клей д/декор.бордюров ""Bordure""";500;г;261,3858;QUELYD;;
;6302;"QUELYD Клей д/стыков обоев ""Raccord""";80;г;198,69915;QUELYD;http://stroyprofi.moscow/images/product_images/2674.png;
;21250;QUELYD Клей для паркета Parquet PU 2K;10;кг;3867,3492;QUELYD;http://www.alt-x.ru/images/ed_catalog/pics/1781.jpg;
;21667;"QUELYD Клей для пробки ""KORK""";3;кг;1238,35452;QUELYD;http://www.bafus.ru/image/100011002.png;
;14776;"QUELYD Клей для стеновых покрытий ""Murale""";5;кг;970,25877;QUELYD;http://build-shop.com/uploads/kind/Murale10_0.jpg;
;14996;"QUELYD Клей монтажный ""Mastifix Ultra""";300;мл;173,60031;QUELYD;http://stroyudacha.ru/images/products_resized/o1800/47833.jpg;
;14995;"QUELYD Клей монтажный ""Mastifix Ultra""";310;мл;197,98584;QUELYD;http://stroyudacha.ru/images/products_resized/o1800/47833.jpg;
;21865;"QUELYD Клей монтажный ""Mastifix Декор""";310;мл;162,21153;QUELYD;http://laminatvsem.ru/upload/iblock/781/781039fdb78256c11c3324209f7989f0.jpg;
;21866;"QUELYD Клей монтажный ""Mastifix для зеркал""";310;мл;188,16876;QUELYD;http://www.zavsnab.ru/content/images/catalog/826.jpg;
;21867;"QUELYD Клей монтажный ""Mastifix Строительный""";310;мл;160,41012;QUELYD;http://t-res.ru/upload/iblock/c9c/d15b094670b211e49403002590eb318b_77550b8b7c7e11e49405002590eb318b.png;
;21868;"QUELYD Клей монтажный ""Mastifix Супер Сила""";310;мл;193,12566;QUELYD;http://gksp.me/10244-thickbox_default/zhidkie-gvozdi-quelyd-mastifiks-super-sila-310-ml.jpg;
;10334;"QUELYD Клей обойный ""Индикатор""";150;г;147,83652;QUELYD;http://images.obi.ru/fsicache/obi?type=image&source=ObiWebShop%2FPROD%2FRU%2Fproduct%2F198%2F198517_picture_1.jpg&width=565&height=565&quality=85&effects=pad%28CC,ffff%29;
;14778;"QUELYD Клей обойный ""Индикатор""";250;г;178,21869;QUELYD;http://images.obi.ru/fsicache/obi?type=image&source=ObiWebShop%2FPROD%2FRU%2Fproduct%2F198%2F198517_picture_1.jpg&width=565&height=565&quality=85&effects=pad%28CC,ffff%29;
;20719;"QUELYD Клей обойный ""Индикатор"" бонусный";300;г;162,01809;QUELYD;http://images.obi.ru/fsicache/obi?type=image&source=ObiWebShop%2FPROD%2FRU%2Fproduct%2F198%2F198517_picture_1.jpg&width=565&height=565&quality=85&effects=pad%28CC,ffff%29;
;6295;"QUELYD Клей обойный ""Спецвинил""";300;г;189,60747;QUELYD;http://www.oboidv.ru/upload/iblock/4db/4db7503d84cf4ab82f912fa2977549b5.jpeg;
;21201;"QUELYD Клей обойный ""Спецвинил""";450;г;254,72421;QUELYD;http://www.oboidv.ru/upload/iblock/4db/4db7503d84cf4ab82f912fa2977549b5.jpeg;
;10151;"QUELYD Клей обойный ""Стеклообои""";500;г;408,8838;QUELYD;http://s.estateline.ru/files/goods/h0021/1114030/3786735.jpeg;
;13278;"QUELYD Клей обойный ""Экспресс""";180;г;124,2852;QUELYD;http://nmir.ru/update/Photos/000004799-1-2.jpg;
;6294;"QUELYD Клей обойный ""Экспресс""";250;г;177,14268;QUELYD;http://nmir.ru/update/Photos/000004799-1-2.jpg;
;6296;"QUELYD Клей обойный ""Экспресс-супер""";250;г;185,48478;QUELYD;http://www.tdarsenal.ru/upload/iblock/06c/06c3ba0e626b1bfa0239fc2f404784c2.jpg;
;6300;"QUELYD Клей обойный флизелинов.""Intisse""";300;г;204,76833;QUELYD;http://www.oboidv.ru/upload/iblock/50c/50cb096661474d5bc17f11a2862ed1f4.jpeg;
;21200;"QUELYD Клей обойный флизелинов.""Intisse""";450;г;282,74883;QUELYD;http://www.oboidv.ru/upload/iblock/50c/50cb096661474d5bc17f11a2862ed1f4.jpeg;
;15836;"QUELYD Клей обойный флизелинов.""Intisse"" бонусный";360;г;165,92316;QUELYD;http://www.oboidv.ru/upload/iblock/50c/50cb096661474d5bc17f11a2862ed1f4.jpeg;
;20198;QUELYD Клей-герметик белый;290;мл;375,32196;QUELYD;http://stroymat77.ru/wa-data/public/shop/products/24/14/1424/images/742/742.970.jpg;
;21870;QUELYD Клей-герметик жидкий металл;290;мл;393,66249;QUELYD;http://www.zavsnab.ru/content/images/catalog/300.jpg;
;15842;QUELYD Клейкая масса Blu Tack;50;г;113,30748;QUELYD;http://www.lkmflot.ru/images/big/100962061.jpg;
;21969;LIQUID NAILS Жидкие гвозди LN-601 Универсальные;310;мл;153,72435;LIQUID NAILS;http://www.dekart.ru/content/images/thumbs/0001812__liquid_nails_ln_601_.jpeg;
;21972;LIQUID NAILS Жидкие гвозди LN-901 Сверхпрочный;310;мл;170,20302;LIQUID NAILS;http://www.dekart.ru/content/images/thumbs/0001815__liquid_nails_ln_901_.jpeg;
;21973;LIQUID NAILS Жидкие гвозди LN-910 Для панелей и молдингов;310;мл;165,62091;LIQUID NAILS;http://www.dekart.ru/content/images/thumbs/0001816__liquid_nails_ln_910_.jpeg;
;21974;LIQUID NAILS Жидкие гвозди LN-915 Для ванных комнат;310;мл;173,8542;LIQUID NAILS;http://www.dekart.ru/content/images/thumbs/0001817__liquid_nails_ln_915_.jpeg;
;21057;Краска для бордюров глянц белая;20;кг;2130,64488;;http://www.dekart.ru/content/images/thumbs/0001581__.jpeg;
;21058;Краска для бордюров глянц черная;20;кг;2150,2065;;http://www.dekart.ru/content/images/thumbs/0001581__.jpeg;
;21153;ЭКОНОМ Грунтовка ГФ-021 кр-коричневый;20;кг;1419,08793;;http://www.dekart.ru/content/images/thumbs/0001596__021_.jpeg;
;21154;ЭКОНОМ Грунтовка ГФ-021 серый;20;кг;1461,17322;;http://www.dekart.ru/content/images/thumbs/0001596__021_.jpeg;
