головной арт;Код;номенклатура;фасовка;единица изм.;цена розница;бренд;картинка;цвет
;00000640;"Минплита Изовер Профи 150*1220*4000(4,88м2;0,73м3;1шт)";1;шт;890;Isover;http://tdodis.ru/published/publicdata/ODIS2014SHOP/attachments/SC/products_pictures/izover_klassik49_enl.jpg;
;00000473;"Минплита Изовер Скатная кровля (50*610*1170)  0,714м3; 14.27м2";1;шт;550;Isover;http://keramix-oskol.ru/upload/iblock/ff5/ff5a6a16c8372528d6caadc3c89a5b29.jpeg;
;00000185;Минплита Изовер тепло-и звукоизоляция Штукатурный Фасад-50/600*1200/ЕК;1;шт;420;Isover;http://63dp.ru/assets/images/products/301/izover-vent-fasad-verh.jpg;
;00000173;Минплита ИЗОРОК Изолайт  (50) 1000*500*100  0,2м3/2м2/4шт;1;шт;1647;Isoroc;http://enyx.ru/wp-content/uploads/2015/09/izorok-izovent.jpg;
;00000015;Минплита ИЗОРОК Изолайт Л 1000*600*100 0,24м3/2,4м2/4шт;1;шт;1420;Isoroc;http://enyx.ru/wp-content/uploads/2015/09/izorok-izovent.jpg;
;00000016;Минплита ИЗОРОК Изолайт Л 1000*600*50 0,24м3/4,8м2/8шт;1;шт;750;Isoroc;http://enyx.ru/wp-content/uploads/2015/09/izorok-izovent.jpg;
;00000007;ПСБ-С 15у 1000*1000*100;1;шт;270;;http://s-karate.ru/images1/5763f806d74d3.png;
;00000187;ПСБ-С 25 Ф лайт 1000*1000*100;1;шт;270;;http://s-karate.ru/images1/5763f806d74d3.png;
;00000150;ПСБ-С 25 Ф лайт 1000*1000*50;1;шт;136;;http://s-karate.ru/images1/5763f806d74d3.png;
;00000041;Стайрофом RAVATHERM XPS 250-A SL N 1185*585*100 (0,277м3, 2,773м2, 4шт);1;уп;1513;;http://giperstroika.com/image/cache/data/isolux/53604_3-600x600.jpg;
;00000651;Стайрофом RAVATHERM XPS 250-A SL N 1185*585*30;1;уп;1397;;http://giperstroika.com/image/cache/data/isolux/53604_3-600x600.jpg;
;00001017;Стайрофом RAVATHERM XPS 250-A SL N 1185*585*40 (0,277м3, 6,93м2, 10шт);1;уп;1285;;http://giperstroika.com/image/cache/data/isolux/53604_3-600x600.jpg;
;00001412;Стайрофом RAVATHERM XPS 250-A SL N 1185*585*50;1;уп;1264;;http://giperstroika.com/image/cache/data/isolux/53604_3-600x600.jpg;
;00000214;"Стайрофом RAVATHERM XPS 250-A SL N 1200*600*20 (0,288м3, 14,4; 20шт)";1;уп;1299;;http://giperstroika.com/image/cache/data/isolux/53604_3-600x600.jpg;
;00000393;Пеноплекс Комфорт 1200х600х50 (7шт, 5,04м2, 0,252м3);1;уп;383;;http://st24.stpulscen.ru/images/product/097/881/188_big.jpg;
;00000119;Минплита Роквул Акустик Баттс (Н) 1000*600*50 (0,3м3\6м2);1;уп;718;Rockwool;http://plitopt.ru/d/125489/d/acustic.jpg;
;00000215;Минплита Роквул Лайт Баттс (Н) 1000*600*50 (0,3м3\6м2);1;уп;615;Rockwool;http://www.classifieds24.ru/images/1886/1885297/large_2.jpg;
;00000062;"Минплита ТехноНИКОЛЬ Green Guard УНИВЕРСАЛ (1200*600*50) 0,288м3; 5,76м2; 8шт";1;уп;415;ТехноНиколь;http://lider35.ru/upload/iblock/427/427441706eb4148c4f8948ebc07f604b.png;
;00000151;"Минплита ТехноНИКОЛЬ Роклайт (1200*600*100) 0,432м3; 4,32м2; 6шт (6,912м3/подд.24шт)";1;уп;620;ТехноНиколь;http://afk59.ru/upload/iblock/f7d/f7d709894660d929428f58dbd3a112d3.jpg;
;00000063;"Минплита ТехноНИКОЛЬ Роклайт (1200*600*50) 0,288м3; 5,76м2; 8шт (6,912м3/подд.24шт)";1;уп;400;ТехноНиколь;http://afk59.ru/upload/iblock/f7d/f7d709894660d929428f58dbd3a112d3.jpg;
;00000449;Минплита ТехноНИКОЛЬ Техноблок стандарт (1200*600*50мм) 0,432м3;1;уп;530;ТехноНиколь;http://frontonspb.ru/generic/catalog/all/858_image.jpg;
;00000471;"Минплита ТехноНИКОЛЬ Техновент Стандарт (1200*600*50) 0,2160м3; 4,32м2; 6шт";1;уп;530;ТехноНиколь;http://maximus63.ru/goods_img/goods1/gr_22999/22999817/b_22999817_0.jpg;
;00000707;Минплита ТехноНИКОЛЬ Технолайт ОПТИМА  (1200*600*120);1;уп;383;ТехноНиколь;http://atlantkrovlya.ru/wp-content/uploads/atlantkrovlyaMineralnajavataTehnonikolTehnoruf.jpg;
;00001231;Минплита Хотрок Лайт (пл 35) (1200*600*100)  0,288м3, 2,88м2, 4шт;1;уп;443;HotRock;http://images.ru.prom.st/244682973_w640_h640_hotrok.jpg;
;00000372;Минплита Хотрок Лайт (пл 35) (1200*600*50)  0,288м3, 5.76м2, 8шт;1;уп;320;HotRock;http://stroymastershop.ru/image/cache/catalog/izolmaterial/teploizol/hotrok-eko-420x320.jpg;
;00000042;Минплита Хотрок Лайт Эко (пл 27) (1200*600*50) 0,288м3, 5,76м2, 8шт;1;уп;500;HotRock;http://x-teplo.ru/wp-content/uploads/2015/09/Upakovka-HOTROCK_light.jpg;
