головной арт;Код;номенклатура;фасовка;единица изм.;цена розница;бренд;картинка;цвет
;00000931;Профиль примыкания оконный с стеклосеткой 6мм 2,4м;1;шт;55;;http://ceresit.ua/assets/easyimage/7/7b4b7d44244695031e0d98104b059209.jpg;
;00001089;Соединитель 1-уровн. (краб) Кнауф ;1;шт;14;;http://stroybigmag.ru/pictures/product/big/10353_big.jpg;
;00000271;Соединитель 1-уровн. (краб) Эконом ;1;шт;9;;http://stroybigmag.ru/pictures/product/big/10353_big.jpg;
;00001047;Лента ДИХТУНСБАНД 50мм*30м;1;шт;150;;http://st23.stpulscen.ru/images/product/095/872/582_big.gif;
;00000873;Лента малярная ZOOM 48ммх45м;1;шт;120;;http://ktl.by/uploads/image/file/12426/100947.jpg;
;00001178;Лента монтажная тканевая  ZOOM 48ммх25м;1;шт;250;;http://ktl.by/uploads/image/file/12426/100947.jpg;
;00000735;Сверло-бур по бетону 6*160мм Hagwert;1;шт;120;;http://entuziast.budus.ru/uploads/bd/products/21042/z/21042_14558900422704951.jpg;
;00000874;Серпянка самоклеящаяся Х-Glass 50мм*153м;1;шт;200;;http://aliyans-stroy.ru/upload/iblock/e00/e009e8c51de1876c1dd3d78439cfcc0c.jpeg;
;00000642;Серпянка самоклеящаяся Х-Glass 50мм*90м;1;шт;140;;http://aliyans-stroy.ru/upload/iblock/e00/e009e8c51de1876c1dd3d78439cfcc0c.jpeg;
;00001420;Финская черепица ШИНГЛАС 3,0м2/уп корич (6S4X21-1464);1;м2;230;;http://sk42.ru/image/cache/import-files-14-1492306a-3725-11e5-ae64-000c29984fcd-1492306f-3725-11e5-ae64-000c29984fcd-500x500.jpeg;
;00001421;Черепица Шинглас РАНЧО корич 4D4*21-0152;1;м2;240;;http://atlantkrovlya.ru/wp-content/uploads/atlantkrovlya_rancho_broun.jpg;
w00000531;w00000531;"Затирка ""Cerezit"" ";;;;Cerezit;https://doka38.ru/image/cache/import_files/81/81811438-adde-11e0-b604-001bfcd3f18a_3cff8e3d-52b6-11e5-a5d5-000c2914e610-1000x750.jpeg;
w00000531;00000531;;2;кг;140;;;бежевая
w00000531;00000115;;2;кг;140;;;белая
w00000531;00000525;;2;кг;140;;;какао
w00000531;00000533;;2;кг;140;;;карамель
w00000531;00000535;;2;кг;140;;;натура
w00000531;00000534;;2;кг;140;;;розовая
w00000531;00000532;;2;кг;140;;;серебр-серый
w00000531;00000524;;2;кг;140;;;темно-коричневый
w00000531;00001136;;2;кг;140;;;антрацит
w00000531;00001138;;2;кг;140;;;графит
w00000531;00001139;;2;кг;140;;;жасмин
w00000531;00001142;;2;кг;140;;;кирпич
w00000531;00000923;;2;кг;140;;;манхеттен
w00000531;00001147;;2;кг;140;;;св. корич
w00000531;00000922;;2;кг;140;;; сиена
;;;;;;;;
;00000695;"Затирка ""Юнис"" АкваСтоп белая 2кг (ведро)";2;;198;Unis;;
;w00000696;"Затирка ""Юнис"" ";;;;Unis;http://br67.ru/upload/iblock/c3a/c3a4809adef6b044904e3a6bce86e71c.jpeg;
w00000696;00000696;;2;кг;125;;;бежевая
w00000696;00000111;;2;кг;125;;;белая
w00000696;00000697;;2;кг;125;;;голубая
w00000696;00000698;;2;кг;125;;;зеленая
w00000696;00000699;;2;кг;125;;;коричневая
w00000696;00000700;;2;кг;125;;;кремовая
w00000696;00000701;;2;кг;125;;;розовая
w00000696;00000694;;2;кг;125;;;св-серая 
w00000696;00000113;;2;кг;125;;;серая
w00000696;00000702;;2;кг;125;;;слоновая кость
w00000696;00000703;;2;кг;125;;;терракотовая
;00000188;"Клей ВОЛМА ""Мультиклей"" 25кг";25;кг;276;Волма;http://ism-mos.ru/images/volma/klej-multiklej.jpg;
;00000478;"Клей ВОЛМА монтажный ""Блок морозостойкий""  25кг";25;кг;200;Волма;http://vashstroysnab.ru/image/cache/data/suhiesmesi/cement%20i%20smesi/volma_blok_25kg-500x500.png;
;00000125;"Клей ВОЛМА монтажный ""Блок"" 25кг";25;кг;240;Волма;https://0.cs-ellpic.yandex.net/market_y7anwDDLuM2WimIBJSenRg_600x600.jpg;
;00000126;"Клей ВОЛМА плиточный ""Интерьер"" 25кг";25;кг;190;Волма;http://xn--80akhjiknedki.xn--p1ai/175-thickbox_default/plitochnyj-klej-volma-interer-25-kg.jpg;
;00000127;"Клей ВОЛМА плиточный ""Керамик плюс"" 25кг";25;кг;250;Волма;http://tdfarfor.ru/images/stories/virtuemart/product/f0000002997_1.jpg;
;00000128;"Клей ВОЛМА плиточный ""Керамик"" 25кг";25;кг;201;Волма;http://xn----8sbgxchzgkefhf.xn--p1ai/pictures/product/big/4599_big.jpg;
;00000469;Клей КНАУФ гипс. монт. ПЕРЛФИКС 30кг;30;кг;310;Knauf;http://stenamaster.ru/wp-content/uploads/2016/06/klej-dlja-gipsokartona-2.jpg;
;00000467;Клей КНАУФ плиточный ФЛИЗЕН 25кг;25;кг;303;Knauf;http://gros-stroi.ru/images/stat/klplit.jpg;
;00000361;Клей ЮНИС  Белфикс плиточный 25 кг ;25;кг;520;Unis;http://kupit-stroymaterialy-optom.ru/6210-large_default/plitochnyy-kley-unis-belfiks.jpg;
;00000235;Клей ЮНИС  Белфикс плиточный 5 кг;5;кг;120;Unis;http://kupit-stroymaterialy-optom.ru/6210-large_default/plitochnyy-kley-unis-belfiks.jpg;
;00000017;Клей ЮНИС  ХХI плиточный 25кг;25;кг;205;Unis;http://kentavrshop.ru/image/cache/data/tovar/unis/xxi-800x800.gif;
;00000018;Клей ЮНИС  ХХI плиточный 5кг;5;кг;69;Unis;http://www.stm32.ru/upload/iblock/5c0/5c058c054c119c7a08d22d3f58f37e81.png;
