Головной арт;Код;Номенклатура, Упаковка;Фасовка;Единица измерения;Цена розница, руб;Бренд;Картинка ;Цвет
;049-007;Decodecor Grese/Декодекор 15  Грезе  - структурное покрытие для отделки фасадов зданий и стен внутри помещений;25;кг;3 000,12;Soframap;http://www.lacos.ru/upload/wm_cache/e39/e39f6a5e848092bec4761cd5fadff6d5.png;
;049-020;Decodecor Taloche/Декодекор 21 Талоше - структурное покрытие для отделки фасадов зданий и стен внутри помещений;25;кг;2 900,30;Soframap;http://www.lacos.ru/upload/wm_cache/ee0/ee0ae0434c143cc90145e13e17fccb21.png;
;049-084;Detroit Granite/Детруа Граните - структурное покрытие для фасадов и стен помещений, шт;18;кг;1 412,20;Soframap;http://bsk-soframap.ru/image/banka/soframap/Detroit-Granite.jpg;
;179-016;Versagel/Версажель 5  - структурн. покрытие  для отделки фасадов зданий и стен внутри помещ;18;кг;2 695,60;Soframap;http://www.lacos.ru/upload/wm_cache/047/047a3716125ebea549c18803ae95768d.png;
;179-019;Decodecor Grese/Декодекор 15  Грезе - структурное покрытие для отделки фасадов зданий и стен внутри помещений;15;кг;2 385,10;Soframap;http://www.lacos.ru/upload/wm_cache/e39/e39f6a5e848092bec4761cd5fadff6d5.png;
;179-034;Conformat Supra/Конформат Супра - краска для интерьеров;9;л;3 500,14;Soframap;http://www.lacos.ru/upload/wm_cache/716/716850803efb24e08020df905dcf37a5.png;
;051-001;Acryl Fasade/Акрил Фасад  - краска для фасадов,;15;л;4 750,42;Soframap;http://www.lacos.ru/upload/wm_cache/a7a/a7af236d77fdea13669ea7ee0fb2e5c9.png;
;051-040;"
Oxamat/Оксамат  - матовая водно-дисперсионная акрилат-силоксановая краска, ";15;л;7 938,22;Soframap;http://www.lacos.ru/upload/wm_cache/e77/e777e86c98c61649a9ebebfb1b7a8e10.png;
;051-060;Fasguard/Фасгард  - краска для фасадов;9;л;1 995,02;Soframap;http://www.lacos.ru/upload/wm_cache/b76/b76d61261a17d6ad719ca629c460acc8.png;
;051-031;Facsil/Фассил  - матовая водно-дисперсионная акрилат-силоксановая краска для наружных работ;15;л;5 813,02;Soframap;http://www.lacos.ru/upload/wm_cache/73a/73a586f33e68523b4a81f2561d6adac3.png;
;w050-101;Batilith/Батилит  - краска матовая микропористая фасадная;;;;Soframap;http://www.lacos.ru/upload/wm_cache/bd2/bd20041fc67474af98bc9a03c558fea0.png;
w050-101;050-101;;15;л;6 350,30;;;
w050-101;050-103;;4;л;1 890,14;;;
;w050-003;Exterlith Losange/Экстерлит Лозанж  - краска матовая микропористая фасадная;;;;Soframap;http://www.lacos.ru/upload/wm_cache/96e/96efb05c110b044b41e7ec65f98a695f.png;
w050-003;050-003;;15;л;8 250,10;;;
w050-003;050-007;;4;л;2 420,06;;;
