Код;Наименование;фасовка;Единица измерения;Цена в валюте прайса;Бренд;картинка;Цвет
w16175;JOBI THERMOAQUAEMAIL Эмаль акриловая для радиат. белая;;;;JOBI;http://new.lkmflot.ru/images/big/100994090.jpeg;
16175;;0,9;л;665,3205;;;
16176;;2,7;л;1915,6878;;;
w11883;JOBI ECOFARBE Краска моющаяся;;;;JOBI;http://www.dekart.ru/content/images/thumbs/0001895__jobi_ekofarbe_.jpeg;
11883;;2,5;л;706,5513;;;
11893;;5;л;1086,0291;;;
11894;;10;л;1948,3776;;;
w15785;JOBI FASSADENFARBE Краска фасадная;;;;JOBI;http://www.lkmflot.ru/images/big/100994132.jpeg;
15785;;0,9;л;177,3018;;;
10517;;5;л;927,8685;;;
10518;;10;л;1713,9798;;;
w12038;JOBI FASSADPREMIUM Краска фасадная премиум;;;;JOBI;JOBI FASSADPREMIUM Краска фасадная премиум;
12038;;0,9;л;268,8543;;;
12044;;5;л;1209,6162;;;
12045;;10;л;2070,3618;;;
w11931;JOBI LATEXCOLOR Краска моющаяся латексная;;;;JOBI;http://pintakrasok.ru/image/cache/data/products/kraski/0001500__jobi_mattlatex_-1024x800.jpeg;
11931;;0,9;л;304,1766;;;
11831;;2,5;л;785,7018;;;
11832;;5;л;1351,3149;;;
11833;;10;л;2507,1813;;;
w11817;JOBI MATTLATEX Краска влагостойкая;;;;JOBI;http://pintakrasok.ru/image/cache/data/products/kraski/0001500__jobi_mattlatex_-1024x800.jpeg;
11817;;2,5;л;481,2444;;;
11819;;5;л;804,9834;;;
11818;;10;л;1508,4693;;;
w11821;JOBI PUTZ-EFFEKTFARBE Краска с кварц. част.;;;;JOBI;http://www.lkmflot.ru/images/big/100994082.jpeg;
11821;;5;л;1153,8306;;;
11823;;10;л;2202,1155;;;
17404;JOBI SILOXANFASSAD Краска фасадная силоксановая;10;л;3116,295;JOBI;http://www.dekart.ru/content/images/thumbs/0000083_jobi_siloxanfassad_.jpg;
w11824;JOBI SUPERWEISS Краска влагостойкая;;;;JOBI;http://kraski-market.ru/upload/iblock/a2e/a2e475f8cbd0bae8a8756791de1a8aca.jpeg;
11824;;2,5;л;509,6754;;;
11825;;5;л;870,6321;;;
11826;;10;л;1619,8065;;;
w10519;JOBI WANDFARBE Краска дисперсионная;;;;JOBI;http://stroygigant.ru/uploads/goods/25/kraska-dlya-vnutrennih-rabot-jobi-wandfarbe-dispersionnaya-5l.jpg;
10519;;2,5;л;307,0431;;;
10520;;5;л;552,6846;;;
10522;;10;л;995,9625;;;
w11928;JOBI WASCHFEST Краска для ванных и кухонь;;;;JOBI;http://new.lkmflot.ru/images/big/100994066.jpeg;
11928;;0,9;л;270,0126;;;
10523;;2,5;л;698,5953;;;
10524;;5;л;1158,8499;;;
10525;;10;л;2129,0256;;;
w8706;JOBI PUTZGRUND Грунт акрил. Укрепляющий;;;;JOBI;http://avktd.ru/gallery/product/5123_1.jpg;
8706;;5;л;344,3076;;;
8707;;10;л;662,3136;;;
w12220;JOBI STRUKTURQUARZGRUND Грунт для штукатурок;;;;JOBI;http://www.dekart.ru/content/images/thumbs/0000085_jobi_strukturquarzgrund_.jpg;
12220;;5;л;739,1124;;;
12219;;10;л;1346,8572;;;
w8693;JOBI TIEFGRUND Грунт акрил. Проникающий;;;;JOBI;http://www.dekart.ru/content/images/thumbs/0000693__jobi_tiefgrund_.jpeg;
8693;;5;л;584,9766;;;
8694;;10;л;1144,1547;;;
w11235;JOBI Колорант;;;;JOBI;http://www.dekart.ru/content/images/thumbs/0000092_jobi_vollton_und_abtonfarbe_.jpg;
11235;;500;мл;172,5165;;;№ 901 Охра
12974;;500;мл;172,5165;;;№ 903 оливковый
11172;;500;мл;172,5165;;; № 904 черный
12895;;500;мл;172,5165;;;№ 904 черный
12897;;500;мл;172,5165;;;№ 905 табак
11593;;500;мл;172,5165;;; № 906 Темно-коричневый
11750;;500;мл;172,5165;;;№ 907 Лимонный
11240;;500;мл;172,5165;;;№ 908 оранжевый
11751;;500;мл;172,5165;;;№ 910 синий
12898;;500;мл;172,5165;;;№ 913 зеленый
12899;;500;мл;172,5165;;;№ 915 бордовый
11244;;500;мл;172,5165;;; № 916 фиолетовый
12916;;500;мл;172,5165;;;№ 917 антрацит
12923;;500;мл;172,5165;;;№ 918 васильковый
12917;;500;мл;172,5165;;;№ 921 Малахит
11163;;500;мл;172,5165;;;№ 922 абрикос
12918;;500;мл;172,5165;;;№ 923 терракота
11236;;500;мл;172,5165;;;№ 924 зол. охра
11261;;500;мл;172,5165;;;№ 935 мандарин
11173;;500;мл;172,5165;;http://www.dekart.ru/content/images/thumbs/0000092_jobi_vollton_und_abtonfarbe_.jpg;№ 937 Коричневый
11250;;500;мл;172,5165;;;№ 939 папоротник
12925;;500;мл;172,5165;;;№ 940 желтый
12965;;500;мл;172,5165;;;№ 942 лазурный
12950;;500;мл;172,5165;;;№ 944бирюзовый
11245;;500;мл;172,5165;;;№ 946 травяной
w16364;JOBI FLUSSIG KUNSTSTOFF Краска ж/ плст. Белый;;;;JOBI;http://stroygigant.ru/uploads/goods/7921/zhidkaya-plastmassa-jobi-flussig-kunststoff-golubaya-0-9l-6sht.jpg;
16364;;0,9;л;1059,6924;;;
16365;;2,7;л;3006,1629;;;
